"Both sexes","15 - 24 years","Russian Federation",580,831
"Both sexes","15 - 24 years","Serbia",58,138
"Both sexes","15 - 24 years","Switzerland",169,181
"Both sexes","15 - 24 years","Turkey",106,140
"Both sexes","15 - 24 years","Ukraine",399,489
"Both sexes","15 - 24 years","Other Europe",55,69
"Both sexes","15 - 24 years","Algeria",78,89
"Both sexes","15 - 24 years","Angola",224,193
"Both sexes","15 - 24 years","Botswana",60,45
"Both sexes","15 - 24 years","Cameroon",156,181
"Both sexes","15 - 24 years","Congo",628,599
"Both sexes","15 - 24 years","Egypt",187,218
"Both sexes","15 - 24 years","Ethiopia",61,56
"Both sexes","15 - 24 years","Ghana",159,146
"Both sexes","15 - 24 years","Cote d'Ivoire",50,64
"Both sexes","15 - 24 years","Kenya",150,146
"Both sexes","15 - 24 years","Liberia",50,26
"Both sexes","15 - 24 years","Libya",112,135
"Both sexes","15 - 24 years","Malawi",60,164
"Both sexes","15 - 24 years","Mauritius",598,193
"Both sexes","15 - 24 years","Morocco",48,70
"Both sexes","15 - 24 years","Nigeria",2712,3091
"Both sexes","15 - 24 years","Sierra Leone",48,32
"Both sexes","15 - 24 years","Somalia",436,368
"Both sexes","15 - 24 years","South Africa",1327,1316
"Both sexes","15 - 24 years","Sudan",124,115
"Both sexes","15 - 24 years","Tanzania, United Republic of",41,35
"Both sexes","15 - 24 years","Togo",48,60
"Both sexes","15 - 24 years","Tunisia",17,11
"Both sexes","15 - 24 years","Uganda",82,76
"Both sexes","15 - 24 years","Zambia",53,33
"Both sexes","15 - 24 years","Zimbabwe",435,491
"Both sexes","15 - 24 years","Other Africa",306,281
"Both sexes","15 - 24 years","Afghanistan",141,411
"Both sexes","15 - 24 years","Bahrain",65,72
"Both sexes","15 - 24 years","Bangladesh",351,400
"Both sexes","15 - 24 years","Myanmar",50,22
"Both sexes","15 - 24 years","China",2304,1929
"Both sexes","15 - 24 years","United Arab Emirates",179,243
"Both sexes","15 - 24 years","Georgia",101,92
"Both sexes","15 - 24 years","Hong Kong",251,201
"Both sexes","15 - 24 years","India",1096,1659
"Both sexes","15 - 24 years","Indonesia",22,36
"Both sexes","15 - 24 years","Iran, Islamic Republic of",94,72
"Both sexes","15 - 24 years","Iraq",352,351
"Both sexes","15 - 24 years","Israel",68,86
"Both sexes","15 - 24 years","Japan",142,176
"Both sexes","15 - 24 years","Jordan",55,77
"Both sexes","15 - 24 years","Kazakhstan",104,107
"Both sexes","15 - 24 years","Kuwait",259,367
"Both sexes","15 - 24 years","Lao People's Democratic Republic",7,42
"Both sexes","15 - 24 years","Lebanon",39,37
"Both sexes","15 - 24 years","Malaysia",837,1388
"Both sexes","15 - 24 years","Mongolia",47,45
"Both sexes","15 - 24 years","Nepal",161,259
"Both sexes","15 - 24 years","Oman",46,264
"Both sexes","15 - 24 years","Pakistan",1135,1588
"Both sexes","15 - 24 years","Philippines",1251,2557
"Both sexes","15 - 24 years","Saudi Arabia",763,923
"Both sexes","15 - 24 years","Singapore",91,189
"Both sexes","15 - 24 years","Korea, Republic of",160,317
"Both sexes","15 - 24 years","Sri Lanka",32,55
"Both sexes","15 - 24 years","Syrian Arab Republic",29,124
"Both sexes","15 - 24 years","Taiwan, Province of China",28,71
"Both sexes","15 - 24 years","Thailand",182,348
"Both sexes","15 - 24 years","Uzbekistan",42,36
"Both sexes","15 - 24 years","Vietnam",103,163
"Both sexes","15 - 24 years","Other Asia",256,148
"Both sexes","15 - 24 years","United States",5397,6482
"Both sexes","15 - 24 years","Argentina",64,84
"Both sexes","15 - 24 years","Brazil",2232,3065
"Both sexes","15 - 24 years","Canada",888,868
"Both sexes","15 - 24 years","Chile",31,44
"Both sexes","15 - 24 years","Colombia",29,72
"Both sexes","15 - 24 years","Cuba",24,20
"Both sexes","15 - 24 years","Guatemala",45,132
"Both sexes","15 - 24 years","Jamaica",23,19
